Name, Year, Runtime
The Shawshank Redemption,(1994),142 min
The Godfather,(1972),175 min
The Dark Knight,(2008),152 min
The Lord of the Rings: The Return of the King,(2003),201 min
Schindler's List,(1993),195 min
The Godfather Part II,(1974),202 min
12 Angry Men,(1957),96 min
Pulp Fiction,(1994),154 min
Inception,(2010),148 min
The Lord of the Rings: The Two Towers,(2002),179 min
Fight Club,(1999),139 min
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min
Forrest Gump,(1994),142 min
Il buono, il brutto, il cattivo,(1966),161 min
The Matrix,(1999),136 min
Goodfellas,(1990),145 min
The Empire Strikes Back,(1980),124 min
One Flew Over the Cuckoo's Nest,(1975),133 min
Top Gun: Maverick,(2022),130 min
Interstellar,(2014),169 min
Cidade de Deus,(2002),130 min
Sen to Chihiro no kamikakushi,(2001),125 min
Saving Private Ryan,(1998),169 min
The Green Mile,(1999),189 min
La vita è bella,(1997),116 min
Se7en,(1995),127 min
Terminator 2: Judgment Day,(1991),137 min
The Silence of the Lambs,(1991),118 min
Star Wars,(1977),121 min
Seppuku,(1962),133 min
Shichinin no samurai,(1954),207 min
It's a Wonderful Life,(1946),130 min
Gisaengchung,(2019),132 min
Whiplash,(2014),106 min
The Intouchables,(2011),112 min
The Prestige,(2006),130 min
The Departed,(2006),151 min
The Pianist,(2002),150 min
Gladiator,(2000),155 min
American History X,(1998),119 min
The Usual Suspects,(1995),106 min
Léon,(1994),110 min
The Lion King,(1994),88 min
Nuovo Cinema Paradiso,(1988),155 min
Hotaru no haka,(1988),89 min
Back to the Future,(1985),116 min
Apocalypse Now,(1979),147 min
Alien,(1979),117 min
Once Upon a Time in the West,(1968),165 min
Psycho,(1960),109 min
